Date,Temp,Initial,Duration,Final
16/01/2022,25,1.9,30,1.8
17/01/2022,25,1.8,30,1.7
18/01/2022,26,1.7,30,1.6
19/01/2022,26,1.6,30,1.5
20/01/2022,25,1.5,30,1.4
21/01/2022,25,1.4,30,1.35
22/01/2022,25,1.35,30,1.3
23/01/2022,25,1.3,30,1.2
24/01/2022,25,1.2,30,1.1
25/01/2022,25,1.1,30,1.05
26/01/2022,26,1.05,60,0.9
27/01/2022,24,0.9,60,0.7
28/01/2022,24,0.7,60,0.5
29/01/2022,25,0.5,60,0.4
30/01/2022,25,0.4,60,0.2
31/01/2022,25,0.2,60,0.1
01/02/2022,25,0.1,60,-0.1
02/02/2022,24,5.9,60,5.7
03/02/2022,24,5.7,60,5.6
04/02/2022,24,5.6,60,5.4
05/02/2022,23,5.4,60,5.2
06/02/2022,23,5.2,30,5.1
07/02/2022,24,5.1,30,5
08/02/2022,24,5,60,4.8
09/02/2022,24,4.8,60,4.6
10/02/2022,24,4.6,60,4.5
11/02/2022,24,4.5,60,4.3
12/02/2022,24,4.3,60,4.2
13/02/2022,23,4.2,60,4
14/02/2022,23,4,60,3.8
15/02/2022,23,3.8,60,3.6
16/02/2022,23,3.6,60,3.4
17/02/2022,24,3.4,30,3.3
,,,,
